mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
14	java.awt.AttributeValue	0.027037475	-0.21644914	0.077524304	0.12155367	0.020555045	-0.23916459	0.33139697	0.00742238	-0.26548418	0.06380119	-0.12256078	-0.11954768	-0.1774703	-0.00069867796	-0.108243816	-0.030273871	-0.09077016	0.14064895	0.038504276	0.155764	0.46254033	0.37545422	0.1899972	-0.38100213	-0.051761404	-0.13219687	-0.38188928	0.051777825	0.08905514	-0.18936263	0.2520028	-0.04231135	2
15	java.awt.BasicStroke	0.6467268	0.36553335	-0.21662328	-0.04362323	0.5019783	-0.17749509	0.42155614	0.31752068	0.08866889	0.34364885	-0.21283585	-0.37034664	0.061263498	-0.14209878	0.16676208	0.35791287	-0.13667323	0.4407506	0.25204256	-0.011228754	0.48975512	1.0010399	0.3781595	0.011422165	-0.45062628	0.06741334	-0.61070144	0.4244268	0.095399804	0.07359458	0.45131353	0.6754814	2
16	java.awt.BorderLayout	0.046097018	-0.18069938	0.30660808	0.41980857	-0.31894505	-0.06823402	-0.0009952112	-0.07378074	0.14462993	0.18279299	1.0370648	-0.80226165	0.11558608	0.21308665	-0.1165635	-0.2805038	-0.28826198	0.61340415	0.026410062	0.015134899	0.38970444	0.59117883	-0.05847023	0.13821007	0.22856866	-0.37518162	-0.29474142	-0.28531355	0.49425852	-0.43383336	0.020994496	0.03712821	2
17	java.awt.BufferCapabilities	0.5083336	-0.21248192	0.7037706	-0.30075878	0.48529652	-0.047952894	0.66810423	-0.31074116	-0.0005735238	0.019707208	0.8767895	-0.1817365	-0.045960568	-0.48802766	0.029898953	-0.1694749	-0.3002696	0.585571	0.10343685	0.1999924	-0.20204175	0.42720902	1.0086968	0.23424661	0.58855104	-0.5090446	-0.60620654	0.04757406	-0.1947933	-0.43486083	-0.6518025	0.12605472	2
18	java.awt.Button	-0.3606609	-0.58326197	0.7350178	-0.056597073	-0.013374195	-0.22059032	0.20191619	-0.14411353	0.44011164	0.08477178	0.35348484	-0.4714388	0.07730933	-0.6526647	0.36691317	0.0043096547	-0.28010494	0.69211984	-0.19874835	0.32553408	0.19049817	0.12973149	0.63660204	0.069239296	0.31802818	0.39721298	-0.586032	-0.03741836	0.26656407	-0.036956556	-0.4381892	0.37468308	2
19	java.awt.Canvas	-0.32183096	-0.37995428	0.83149153	-0.15638225	0.2341693	-0.10275089	0.10007861	-0.19005242	0.38899335	0.16405264	0.44398993	-0.45452875	0.17169338	-0.64156055	0.2185155	-0.11034304	-0.22753641	0.770843	-0.1153617	0.4312969	-0.003371673	0.2769918	0.62184197	0.040872555	0.37694052	0.16725153	-0.61160606	-0.04501264	0.33308426	-0.022070969	-0.5296641	0.35863835	2
20	java.awt.CardLayout	0.042095393	-0.13419712	0.18455622	0.5342594	-0.05101077	-0.13859034	0.034097455	-0.076381534	0.10877213	0.30304357	1.0008905	-0.76099676	0.17126141	0.16569376	-0.045846164	-0.4974603	-0.37803918	0.50338554	0.17368963	0.0829491	0.24919239	0.5300831	-0.018884404	0.297964	0.22913903	-0.41406727	-0.4174174	-0.4475592	0.33646238	-0.21412188	-0.07108939	-7.934474e-05	2
21	java.awt.Checkbox	-0.38385516	-0.47913834	0.8484161	-0.019301595	-0.05966809	-0.2756671	0.25734887	-0.13029929	0.48929468	0.132247	0.32566094	-0.49977794	0.13527052	-0.5527396	0.5519069	-0.08760378	-0.3568098	0.67009807	-0.27617544	0.3325338	0.10891255	0.27173695	0.4276702	-0.046947055	0.33334544	0.26389378	-0.470516	-0.13109775	0.3194252	-0.07826267	-0.49464756	0.38131553	2
22	java.awt.CheckboxGroup	0.016945586	-0.15189518	0.42691824	0.14248878	-0.21971725	-0.33459908	0.7353978	-0.1370648	0.2241366	-0.014217759	0.55509764	-0.20824687	-0.2704088	0.34576374	0.10147902	-0.03362736	-0.21747792	0.43769222	-0.44222975	-0.06600533	0.28553775	0.5515477	0.14853126	-0.22478715	0.23957191	-0.28615937	-0.2997526	-0.35553852	0.10420786	0.033826694	-0.15906402	0.08745384	2
23	java.awt.CheckboxMenuItem	-0.15196346	-0.7571474	0.48565525	-0.24773136	0.043317147	-0.5089416	0.2583843	-0.64505726	-0.05155235	0.18084519	-0.33936125	-0.6005059	-0.16089448	0.057839453	0.54274374	0.18650624	-0.28211984	0.31031784	-0.06516131	0.30075124	0.3741361	0.7406817	0.41631755	-0.5051449	-0.3221579	0.32754493	-0.24767983	-0.7576882	0.06578742	-0.90399694	-0.43524188	0.7688878	2
24	java.awt.Choice	-0.37748772	-0.3824196	0.9198093	-0.007464917	-0.03218478	-0.22031577	0.1771746	-0.10278487	0.3656711	0.27946496	0.25241262	-0.44584948	0.22875644	-0.6357196	0.59391314	-0.09117475	-0.4083937	0.5722507	-0.14358202	0.41237226	0.00052658364	0.39395595	0.447496	0.09957731	0.316499	0.2547402	-0.52257144	-0.193014	0.26312152	-0.11804763	-0.53096557	0.39333928	2
25	java.awt.Color	0.22698586	-0.21490176	0.21798669	0.020435462	0.1553668	0.0010394378	0.6010287	0.22624633	-0.037037726	-0.26327363	0.6811508	-0.4263419	-0.24232212	-0.42659953	0.22641864	0.2373106	-0.0921631	0.5978833	-0.3334815	0.20900072	0.2280657	0.61683655	0.9723169	0.641984	0.58787906	0.0374179	-0.50425655	-0.52020913	0.2793308	-0.15911904	-0.44499415	0.31881222	2
26	java.awt.ColorPaintContext	0.124257855	0.31984404	0.50396943	0.12579589	-0.28453997	-0.31929278	0.48880675	0.7669924	-0.14337888	-0.4635675	0.31637526	0.29817063	-0.3867283	-0.52824086	-0.17613117	0.26975632	0.2551226	0.18689977	-0.118745185	0.48758718	0.34707484	0.53787214	0.35548368	0.38505453	0.10478885	0.18516554	-0.41746002	-0.27448168	0.37582254	0.03382266	0.05643701	-0.07298327	2
27	java.awt.Component	-0.1266067	-0.900751	0.8723463	-0.17950106	0.024644101	-0.13164122	0.18418404	0.104017444	0.0019845	0.18850665	0.6719385	-0.64033693	-0.021937676	-0.23487839	0.12777275	-0.40345392	-0.33453247	0.5871065	0.0055353004	-0.107844464	0.048624903	0.77551126	0.24928609	0.3577079	0.4863651	0.016858859	-0.50804013	-0.18637839	0.23007333	-0.2683669	-0.36257976	-0.09347928	2
