mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
14	Marjan Krisper	-0.14422616	-0.14094867	-0.58908826	0.50759405	0.27746403	-0.22648798	0.09962433	-0.034243144	-0.09034497	-0.38948193	0.27657494	-0.6823808	0.22478963	0.5992842	-0.16089669	-0.1767778	-0.0759054	-0.1264513	-0.29945862	0.848657	-0.5068326	0.3048561	0.5798622	0.3483608	0.21909098	0.11325185	-0.5447205	-0.4607086	1.1713781	-0.2665345	0.003025835	-7.984643e-05	5
15	Boris Sobočan	0.02226989	0.017344348	0.02436158	-0.0041385368	0.022370636	-0.011763096	0.017644808	-0.013416573	0.017478354	0.012826681	-0.017022714	0.01519841	0.025414832	0.00065396726	-0.02918484	0.014664985	-0.008267596	0.022819392	0.031228386	-0.0011262372	0.014281429	-0.0173413	-0.021514915	0.024315894	0.017470941	0.02375456	-0.018482313	-0.0012966394	-0.0045467243	-0.0168638	0.021200992	-0.018211305	1
16	Boris Glavič	0.9522923	-1.0780632	-0.35545143	-0.9595124	-0.031991493	-0.66939867	-1.6816069	0.3621504	-0.5056144	-0.67063797	0.12911886	-0.49440536	-0.008048241	0.18245105	0.05814815	-0.16561143	0.13700631	0.057149023	-0.3863231	0.18842071	0.3461719	1.0632931	0.42989138	0.11367324	-1.3650501	-2.0534408	-1.2667866	0.2966257	0.9076914	-0.29178718	0.43224216	0.33839408	5
17	Zmago Brezočnik	0.42064217	-0.1948401	-1.0596434	-0.53427136	0.8026879	0.17281576	0.28629565	1.0329256	-1.2005314	-0.32148454	0.9584067	0.23041537	0.3647219	1.2964702	0.1021611	-0.5279783	-0.39996323	-0.21145023	0.12814966	0.24529916	0.0039247978	0.23637179	0.5948025	-0.8800085	-0.7295962	-0.5841489	0.0387891	-0.260621	0.24480163	-0.48165268	1.153354	-0.25416416	1
18	Zoran Radalj	-0.0013539717	0.025256	0.003180787	0.0070235804	-0.018193342	-0.029934347	-0.008084193	0.011108659	-0.022914976	0.009919465	-0.0066784546	0.012568288	-0.00018826872	0.002588056	-0.0102278665	0.027510181	-0.0018589273	-0.027754694	0.0050693974	0.018408515	-0.0050147697	0.0057504773	0.028783098	0.02412203	-0.013206251	0.010767199	0.0045773536	-0.03084004	-0.029159017	0.01901368	0.01470346	0.009066738	7
19	John Shawe-Taylor	-0.018316053	-0.016035996	0.018335804	0.00367634	-0.004801072	-0.010515876	-0.018266872	0.022858217	-0.009976596	-0.01731395	0.01001706	0.010672994	0.024010941	-0.01182583	0.022773981	0.021976061	0.011169136	-0.027730457	-0.014334224	0.01611077	-0.0012567416	0.010787576	-0.026216745	0.023719758	0.010224067	-0.030131698	0.02600468	-0.009387605	0.026367083	-0.024575725	0.00860621	0.015186511	5
20	Rafael Črv	0.0109784305	-0.023918547	-0.015872166	-0.014765762	0.022685573	-0.00033456832	-0.011894077	-0.0031617433	-0.021590576	-1.2211502e-05	0.022203907	0.011062689	-0.029960684	-0.01415915	0.011795312	-0.0005219951	-0.018181331	-0.030705906	-0.0278062	0.014298543	0.011695534	0.0053234994	-0.0025778413	-0.01883217	0.011504106	0.020365208	-0.030300096	0.0029178858	0.018581972	0.0074748844	-0.00039111823	-0.0147538185	5
21	Mirko Vintar	-0.53501654	-0.83521503	-0.53456855	-0.4610605	0.56481856	-0.77630985	-0.7520297	0.56973803	-0.36466277	-0.49715564	-0.44686303	-0.061347295	0.38544145	0.8492893	-0.10665947	-0.011819336	0.13644491	0.14161569	-0.3769536	1.3084537	0.8093149	0.474055	0.6550299	0.108605206	0.9689731	-0.5943709	-1.1089453	0.14714965	-0.019563083	-0.75952935	-0.60048026	-0.22489569	5
22	Saša Divjak	0.28108847	-0.53191394	-0.8505892	-0.9026173	-0.46910292	0.16866693	-1.2474278	0.028301185	-0.23804344	-0.25729793	-0.082713924	-0.8259576	0.2213724	0.13155328	0.318994	-0.024514591	-0.20190254	0.34697953	-0.89121187	0.35144958	0.33515933	1.5120052	0.11876282	-0.5649182	-0.35894018	-1.2478287	-0.94935465	0.066904396	0.8690778	-0.4566023	0.1502238	-0.022214755	3
23	Andrej Dobnikar	0.92558134	-0.8312553	0.023174452	0.13416332	0.746725	-0.18196605	-0.14797439	0.32247472	-0.38633162	0.48992693	0.7143662	0.17248859	-0.2061245	0.036948875	0.14362751	1.1667026	0.18605945	0.060310494	0.14203452	1.5847158	0.25351626	0.5835116	0.7379576	-0.16827512	-0.6697036	-0.012306465	-1.3045325	-0.5974159	-0.0948342	0.30897027	-0.067392625	0.24110389	7
24	Ivan Bratko	-0.07359836	-0.8754475	0.09398763	0.23404638	0.74033403	-0.8684723	-0.22285329	-0.39894095	-0.37710088	0.3701716	0.2885722	-0.5548358	-0.18483591	0.124025024	-0.11836541	-0.17911167	-0.22317578	0.3168759	-0.36212444	0.6977891	0.5220343	0.69516444	0.42823154	-0.16876078	-0.023092676	-0.07333052	-0.5021944	0.3922884	0.6209244	-0.4923431	-0.6978237	-0.51714516	7
25	Veselko Guštin	1.2975291	-0.61972123	-0.2022284	-0.4402765	1.0738957	-0.16177437	-0.22021076	1.2132825	0.0012037086	0.6850523	1.0071412	1.0136882	-0.3164498	0.83481115	0.06910109	0.079777054	0.10867243	-0.26281285	-0.29156265	1.5859756	-0.29453546	0.16614357	0.21213366	0.23224069	-0.6856429	-0.007170195	-0.5546412	-0.37419733	0.13679262	0.3573377	0.038010877	0.37702283	1
26	Vid Mikulič	0.0031183064	0.00807371	-0.026200272	-0.023491897	0.021265745	-0.008093029	0.012081303	-0.015502535	0.015780814	0.028854504	-0.01629828	0.023777924	0.029736578	0.011455022	0.020673476	-0.019875601	0.024959244	-0.021510296	0.01845131	-0.011942789	-0.03089349	-0.018195517	-0.02284643	-0.017441362	0.029822446	0.001677908	0.020826854	0.006573379	-0.0199195	0.003403388	-0.0022183284	0.02006574	5
27	Mitja Lasič	-0.19457652	-0.35505274	-0.5760341	-0.50626105	-0.5449495	-0.8644595	-0.3106796	-0.008308038	-0.10615675	-0.5808415	1.7879102	-0.07089024	0.45558634	0.43082616	-0.62360936	-0.5094484	0.40543488	-0.036041286	-0.13488467	0.5558322	-0.10859893	0.65171313	0.5867624	-0.52088475	-0.07597237	-0.27035555	-0.69829637	-0.52610207	0.5426755	-0.022732971	-1.151378	0.4789791	1
28	Dušan Peček	0.33504814	-0.6081066	-0.068639174	-0.35908237	0.43328643	-0.39832947	-0.06096927	1.1583636	-0.26340184	-0.18032987	0.8403665	-0.10378974	0.29799223	0.87580156	-1.4589431	-0.4254638	-0.33017617	0.70084804	0.11433601	0.7126583	0.62769645	0.1747063	-0.50959194	-0.5029459	0.64107764	-0.57430565	-1.0560681	-0.26642507	-0.16511749	0.14502232	-1.0151932	0.7757587	0
29	Viktor Vaupot	-0.0025320486	-0.25557563	-0.40408695	-0.90383285	0.33701232	-0.32436317	-0.11290293	0.70340997	-0.34058085	-0.50601566	1.9536984	0.0021709437	0.51234233	0.8129989	0.21841297	0.03365063	0.18430702	0.35148394	-0.16853477	-0.15858561	-0.8635813	0.2988154	0.041266795	-0.5132888	-0.03828324	-0.6845769	0.43281966	-0.98600507	0.47775367	-0.58823764	-0.76856893	-0.15543525	7
30	Marko Bohanec	-0.32856315	-0.7625133	-0.2142905	0.03877733	0.32907143	-0.63280714	-0.604672	-0.12155412	0.13302553	-0.107256	-0.23344989	-0.1842447	0.12932838	0.9994112	0.12785174	-0.23472309	-0.23527311	0.55143255	-0.4307746	1.0084871	0.1658038	0.5903552	0.30557323	-0.18033615	0.56673306	-0.6158955	-0.7242971	0.6292379	0.24570838	-0.47171322	-0.42270184	-0.30656323	0
