V1.ime	V2.priimek	V3.AvtID	V4.OpisVloga	V5.kjluc	V6.organiz	V7.COBISS	V8	V9.STATUS1	V10.STATUS2	V11.POD	V12.DIS	V13.VED	V14.leto	V15.tip	V16.vloga	V17.stAvt	V18.samo	V19.vdisc	V20.medDisc	V21.izven	V22.tipTock	V23.tocke	vrstniRed	V25.starost	V26.Dr	V27.spol	V28	V29.excellent	V30.ResGroup
Andrej	Kastrin	26484	avtor	26484/38864994	NA	38864994	main	ACT	RSR	6	1	1	2008	1.01	R.1	1	1	0.0	0.0	0.0	1C (Z2)	30.0	2463714	2006	0	M	Z2	NA	1170
Andrej	Kastrin	26484	avtor	26484/28668253	NA	28668253	main	ACT	RSR	6	1	1	2009	1.01	R.1	1	1	0.0	0.0	0.0	1C (Z2)	30.0	2463715	2006	0	M	Z2	NA	1170
Andrej	Kastrin	26484	avtor	26484/25398233	NA	25398233	main	ACT	RSR	6	1	1	2008	1.02	R.1	1	1	0.0	0.0	0.0	1C (Z2)	30.0	2463718	2006	0	M	Z2	NA	1170
Andrej	Kastrin	26484	avtor	26484/25149657	NA	25149657	main	ACT	RSR	6	1	1	2008	1.02	R.1	1	1	0.0	0.0	0.0	1C (Z2)	30.0	2463719	2006	0	M	Z2	NA	1170
Andrej	Kastrin	26484	avtor	26484/24888281	NA	24888281	main	ACT	RSR	6	1	1	2008	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	2463720	2006	0	M	S	NA	1170
Žiga	Virk	26522	avtor	26522/15308633	3-111.02 & 4-016	15308633	main	ACT	RSR	2	1	1	2010	1.01	R.1	1	1	0.0	0.0	0.0	1A3 (Z1)	63.88	2464002	2005	1	M	Z1	NA	2
Irena	Majcen	26532	avtor	26532/14429785	4-016	14429785	main	ACT	RSR	NA	1	1	2007	1.01	R.1	1	1	0.0	0.0	0.0	1A2 (Z1)	95.74	2464224	2005	1	F	Z1	NA	NA
Irena	Majcen	26532	avtor	26532/15118681	4-016	15118681	main	ACT	RSR	NA	1	1	2009	1.01	R.1	1	1	0.0	0.0	0.0	1A2 (Z1)	80.93	2464225	2005	1	F	Z1	NA	NA
Vito	Vitrih	27559	avtor	27559/1024269908	3-300	1024269908	main	ACT	RSR	NA	1	1	2010	1.01	R.1	1	1	0.0	0.0	0.0	1A2 (Z1)	93.04	2465407	2005	1	M	Z1	NA	1176
Vito	Vitrih	27559	avtor	27559/1024069972	3-300	1024069972	main	ACT	RSR	NA	1	1	2008	1.08	R.1	1	1	0.0	0.0	0.0	4C (Z2)	25.0	2465408	2005	1	M	Z2	NA	1176
