V1.ime	V2.priimek	V3.AvtID	V4.OpisVloga	V5.kjluc	V6.organiz	V7.COBISS	V8	V9.STATUS1	V10.STATUS2	V11.POD	V12.DIS	V13.VED	V14.leto	V15.tip	V16.vloga	V17.stAvt	V18.samo	V19.vdisc	V20.medDisc	V21.izven	V22.tipTock	V23.tocke	vrstniRed	V25.starost	V26.Dr	V27.spol	V28	V29.excellent	V30.ResGroup
Sandi	Klavžar	5949	avtor	05949/3081988	3-207 & 4-016	3081988	main	ACT	RSR	5	1	1	1988	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1A4 (Z1)	12.42	9695	1971	1	M	Z1	NA	1053
Zvonimir	Bohte	158	avtor	00158/7534425	4-016 & 3-111.02	7534425	main	RET	RSR	3	1	1	1992	1.01	R.1	2	0	0.25	0.25	0.0	1C (Z2)	15.0	10955	1957	1	M	Z2	NA	NA
Jože	Nemec	2923	avtor	02923/5900121	NA	5900121	main	RET	RSR	5	1	1	1994	1.01	R.1	2	0	0.25	0.25	0.0	NA	NA	10981	1970	1	M	NA	NA	NA
Jože	Nemec	2923	NA	02923/6330372	3-209	6330372	main	RET	RSR	5	1	1	1994	1.01	R.1	2	0	0.25	0.25	0.0	1C (Z2)	15.0	10982	1970	1	M	Z2	NA	NA
Jože	Nemec	2923	avtor	02923/5758468	3-209	5758468	main	RET	RSR	5	1	1	1994	1.01	R.1	2	0	0.25	0.25	0.0	1C (Z2)	15.0	10984	1970	1	M	Z2	NA	NA
Jože	Benčina	14402	avtor	14402/1254830	NA	1254830	main	ACT	RSR	NA	1	1	2001	1.01	R.1	2	0	0.25	0.25	0.0	1C (Z2)	15.0	11011	1979	1	M	Z2	NA	411
Gašper	Jaklič	20271	avtor	20271/2672558	3-111.02 & 4-016	2672558	main	ACT	RSR	3	1	1	2007	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.111111111111111	1A2 (Z1)	29.38	11033	1999	1	M	Z1	NA	3
Zvonimir	Bohte	158	avtor	00158/7648601	3-111.02 & 4-016	7648601	main	RET	RSR	3	1	1	1998	1.08	R.1	2	0	0.25	0.25	0.0	4NK (S); zbornik nerecenziranih prispevkov	2.5	11117	1957	1	M	S	NA	NA
Jože	Nemec	2923	avtor	02923/5436676	3-209	5436676	main	RET	RSR	5	1	1	1993	1.08	R.1	2	0	0.25	0.25	0.0	4NK (S); zbornik nerecenziranih prispevkov	2.5	11185	1970	1	M	S	NA	NA
Jože	Benčina	14402	avtor	14402/1500882	NA	1500882	main	ACT	RSR	NA	1	1	2001	1.08	R.1	2	0	0.25	0.25	0.0	4C (Z2)	12.5	11249	1979	1	M	Z2	NA	411
Gašper	Jaklič	20271	avtor	20271/2767278	3-111.02 & 4-016	2767278	main	ACT	RSR	3	1	1	2007	1.08	R.1	3	0	0.111111111111111	0.222222222222222	0.111111111111111	4C (Z2)	8.33	11269	1999	1	M	Z2	NA	3
Marko	Lovrečič Saražin	755	avtor	00755/17117957	4-015	17117957	main	ACT	RSR	5	1	1	1994	1.01	R.1	7	0	0.0204081632653061	0.122448979591837	0.0204081632653061	1C (Z2)	4.29	14258	1984	0	M	Z2	NA	NA
Marko	Lovrečič Saražin	755	avtor	00755/17240837	4-015	17240837	main	ACT	RSR	5	1	1	1996	1.01	R.1	4	0	0.0625	0.1875	0.0	1A2 (Z1)	21.53	18120	1984	0	M	Z1	NA	NA
Marko	Lovrečič Saražin	755	avtor	00755/148906	4-015	148906	main	ACT	RSR	5	1	1	1999	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1A4 (Z1)	15.65	33125	1984	0	M	Z1	NA	NA
Zvonimir	Bohte	158	avtor	00158/8605273	3-111.02 & 4-016	8605273	main	RET	RSR	3	1	1	1987	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1C (Z2)	8.0	35595	1957	1	M	Z2	NA	NA
Zvonimir	Bohte	158	avtor	00158/8606297	3-111.02 & 4-016	8606297	main	RET	RSR	3	1	1	1988	1.01	R.1	2	0	0.25	0.25	0.25	1C (Z2)	15.0	35598	1957	1	M	Z2	NA	NA
Zvonimir	Bohte	158	avtor	00158/7365721	3-111.02 & 4-016	7365721	main	RET	RSR	3	1	1	1987	1.03	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1NK (S)	1.67	35602	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/7704322	3-111.02 & 4-016	7704322	main	RET	RSR	3	1	1	1988	1.03	R.1	1	1	0.0	0.0	0.0	1NK (S)	5.0	35604	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8604761	4-016 & 3-111.02	8604761	main	RET	RSR	3	1	1	1986	1.08	R.1	3	0	0.333333333333333	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	35661	1957	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/8604761	NA	8604761	main	ACT	RSR	6	1	1	1986	1.08	R.1	3	0	0.333333333333333	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	35662	1974	1	M	S	NA	NA
Dušan	Fajfar	10075	avtor	10075/8604761	NA	8604761	main	ACT	RSR	3	1	1	1986	1.08	R.1	3	0	0.333333333333333	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	35663	1974	0	M	S	NA	622
Zvonimir	Bohte	158	avtor	00158/8604505	4-016 & 3-111.02	8604505	main	RET	RSR	3	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35664	1957	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/8604505	NA	8604505	main	ACT	RSR	6	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35665	1974	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8603737	3-111.02 & 4-016	8603737	main	RET	RSR	3	1	1	1986	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	35667	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8603993	4-016 & 3-111.02	8603993	main	RET	RSR	3	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35669	1957	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/8603993	NA	8603993	main	ACT	RSR	6	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35670	1974	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8604249	4-016 & 3-111.02	8604249	main	RET	RSR	3	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35672	1957	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/8604249	NA	8604249	main	ACT	RSR	6	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35673	1974	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8605017	3-111.02 & 4-016	8605017	main	RET	RSR	3	1	1	1988	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	35675	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8617049	3-111.02 & 4-016	8617049	main	RET	RSR	3	1	1	1989	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	35677	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8616793	3-111.02 & 4-016	8616793	main	RET	RSR	3	1	1	1990	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	35679	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8617561	3-111.02 & 4-016	8617561	main	RET	RSR	3	1	1	1990	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35681	1957	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/8617561	NA	8617561	main	ACT	RSR	6	1	1	1990	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35682	1974	1	M	S	NA	NA
Anton	Suhadolc	204	avtor	00204/7823449	3-111.02 & 4-016	7823449	main	NAC	RSR	NA	1	1	1991	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A1 (Z1, A')	34.32	49892	1956	1	M	Z1	1	NA
Anton	Suhadolc	204	avtor	00204/10760281	NA	10760281	main	NAC	RSR	NA	1	1	2001	1.01	R.1	1	1	0.0	0.0	0.0	1C (Z2)	30.0	49894	1956	1	M	Z2	NA	NA
Anton	Suhadolc	204	avtor	00204/7589465	3-111.02	7589465	main	NAC	RSR	NA	1	1	1997	1.02	R.1	1	1	0.0	0.0	0.0	1C (Z2)	24.0	49895	1956	1	M	Z2	NA	NA
Andrej	Blejec	6989	avtor	06989/10126809	1-007	10126809	main	ACT	RSR	6	1	1	1999	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1A3 (Z1)	23.93	50859	1975	1	M	Z1	NA	32
Andrej	Blejec	6989	avtor	06989/18233049	3-104.05	18233049	main	ACT	RSR	6	1	1	2004	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1A2 (Z1)	33.33	50882	1975	1	M	Z1	NA	32
Andrej	Blejec	6989	avtor	06989/1748559	1-007	1748559	main	ACT	RSR	6	1	1	2008	1.01	R.1	4	0	0.0625	0.1875	0.0625	1A4 (Z1)	14.65	50962	1975	1	M	Z1	NA	32
Egon	Zakrajšek	213	avtor	00213/14145031	3-111.02 & 4-016	14145031	main	RIP	RSR	3	1	1	1987	1.01	R.1	4	0	0.0625	0.1875	0.0625	1A2 (Z1)	20.0	55002	1964	1	M	Z1	NA	NA
Egon	Zakrajšek	213	avtor	00213/8682585	3-111.02 & 4-016	8682585	main	RIP	RSR	3	1	1	1998	1.01	R.1	1	1	0.0	0.0	0.0	1A3 (Z1, A')	59.1	55030	1964	1	M	Z1	1	NA
Egon	Zakrajšek	213	avtor	00213/747873	NA	747873	main	RIP	RSR	3	1	1	1997	1.08	R.1	3	0	0.111111111111111	0.222222222222222	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	55052	1964	1	M	S	NA	NA
Bogdan	Krušič	219	avtor	00219/4353819	3-112	4353819	main	RET	RSR	NA	1	1	1986	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1A4 (Z1)	14.34	59372	1961	0	M	Z1	NA	NA
Bogdan	Krušič	219	avtor	00219/4150299	3-112	4150299	main	RET	RSR	NA	1	1	1986	1.08	R.1	4	0	0.0625	0.1875	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.25	59386	1961	0	M	S	NA	NA
Katarina	Košmelj	9085	avtor	09085/2450297	3-104.01	2450297	main	ACT	RSR	6	1	1	1987	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1C (Z2)	10.0	67937	1979	1	F	Z2	NA	279
Drago	Čepar	1857	avtor	01857/12100135	1-001.05.04	12100135	main	ACT	RSR	6	1	1	1993	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	72139	1974	1	M	S	NA	NA
Erika	Pleša	11641	avtor	11641/12100135	NA	12100135	main	ACT	RSR	4	1	1	1993	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	72141	1993	0	F	S	NA	NA
Jože	Jesenko	4067	avtor	04067/912900	3-205	912900	main	RIP	RSR	6	1	1	1987	2.01	R.1	13	0	0.00591715976331361	0.0710059171597633	0.0355029585798817	2B (Z2)	7.18	94344	1967	1	M	Z2	NA	NA
Katarina	Košmelj	9085	avtor	09085/4820601	3-104.01	4820601	main	ACT	RSR	6	1	1	2007	1.01	R.1	4	0	0.0625	0.1875	0.0	1A4 (Z1)	14.57	96920	1979	1	F	Z1	NA	279
Katarina	Košmelj	9085	avtor	09085/2449273	3-104.01	2449273	main	ACT	RSR	6	1	1	1988	1.01	R.1	4	0	0.0625	0.1875	0.0	1A4 (Z1)	12.98	105078	1979	1	F	Z1	NA	279
Katarina	Košmelj	9085	avtor	09085/14544857	4-024	14544857	main	ACT	RSR	6	1	1	1996	1.01	R.1	10	0	0.01	0.09	0.06	1A2 (Z1)	4.18	105100	1979	1	F	Z1	NA	279
Katarina	Košmelj	9085	avtor	09085/1556857	3-104.01	1556857	main	ACT	RSR	6	1	1	1996	1.01	R.1	5	0	0.04	0.16	0.04	1A1 (Z1, A'', A')	13.23	105105	1979	1	F	Z1	1	279
Katarina	Košmelj	9085	avtor	09085/7184089	3-104.01	7184089	main	ACT	RSR	6	1	1	1997	1.01	R.1	11	0	0.00826446280991736	0.0826446280991736	0.0578512396694215	1A1 (Z1, A'', A')	12.57	105116	1979	1	F	Z1	1	279
Katarina	Košmelj	9085	avtor	09085/15988697	NA	15988697	main	ACT	RSR	6	1	1	2002	1.01	R.1	10	0	0.01	0.09	0.06	1A1 (Z1, A'', A')	11.95	105129	1979	1	F	Z1	1	279
Katarina	Košmelj	9085	avtor	09085/19019737	NA	19019737	main	ACT	RSR	6	1	1	2004	1.01	R.1	5	0	0.04	0.16	0.04	1A1 (Z1, A'', A')	12.65	105134	1979	1	F	Z1	1	279
Katarina	Košmelj	9085	avtor	09085/37656320	3-104.01	37656320	main	ACT	RSR	6	1	1	1988	1.01	R.1	7	0	0.0204081632653061	0.122448979591837	0.0204081632653061	1A4 (Z1)	5.71	124511	1979	1	F	Z1	NA	279
Katarina	Košmelj	9085	avtor	09085/1596377	NA	1596377	main	ACT	RSR	6	1	1	1992	1.08	R.1	7	0	0.0204081632653061	0.122448979591837	0.0204081632653061	4NK (S); zbornik nerecenziranih prispevkov	0.71	124748	1979	1	F	S	NA	279
Katarina	Košmelj	9085	avtor	09085/1596633	NA	1596633	main	ACT	RSR	6	1	1	1992	1.08	R.1	7	0	0.0204081632653061	0.122448979591837	0.0204081632653061	4NK (S); zbornik nerecenziranih prispevkov	0.71	124755	1979	1	F	S	NA	279
Katarina	Košmelj	9085	avtor	09085/1302393	3-104.01	1302393	main	ACT	RSR	6	1	1	1995	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1A1 (Z1, A')	34.73	125481	1979	1	F	Z1	1	279
Barbara	Šket Motnikar	10364	avtor	10364/1544545	NA	1544545	main	ACT	RSR	6	1	1	1997	1.01	R.1	4	0	0.0625	0.1875	0.0625	1A3 (Z1)	15.0	135903	1990	1	F	Z1	NA	NA
Barbara	Šket Motnikar	10364	avtor	10364/1544289	NA	1544289	main	ACT	RSR	6	1	1	1997	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1A4 (Z1)	19.81	135907	1990	1	F	Z1	NA	NA
Barbara	Šket Motnikar	10364	avtor	10364/1266017	NA	1266017	main	ACT	RSR	6	1	1	2000	1.01	R.1	2	0	0.25	0.25	0.0	1C (Z2)	10.0	135929	1990	1	F	Z2	NA	NA
Barbara	Šket Motnikar	10364	avtor	10364/1544801	NA	1544801	main	ACT	RSR	6	1	1	2001	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1C (Z2)	10.0	135931	1990	1	F	Z2	NA	NA
Barbara	Šket Motnikar	10364	avtor	10364/2333281	NA	2333281	main	ACT	RSR	6	1	1	2003	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1A2 (Z1)	32.01	135934	1990	1	F	Z1	NA	NA
Barbara	Šket Motnikar	10364	avtor	10364/35055109	NA	35055109	main	ACT	RSR	6	1	1	1996	1.08	R.1	2	0	0.25	0.25	0.0	4NK (S); zbornik nerecenziranih prispevkov	2.5	135986	1990	1	F	S	NA	NA
Barbara	Šket Motnikar	10364	avtor	10364/35058437	NA	35058437	main	ACT	RSR	6	1	1	1996	1.08	R.1	3	0	0.111111111111111	0.222222222222222	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	135989	1990	1	F	S	NA	NA
Barbara	Šket Motnikar	10364	avtor	10364/35056645	NA	35056645	main	ACT	RSR	6	1	1	1996	1.08	R.1	3	0	0.111111111111111	0.222222222222222	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	135992	1990	1	F	S	NA	NA
Barbara	Šket Motnikar	10364	avtor	10364/1231969	NA	1231969	main	ACT	RSR	6	1	1	2000	1.08	R.1	3	0	0.111111111111111	0.222222222222222	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	135996	1990	1	F	S	NA	NA
Barbara	Šket Motnikar	10364	avtor	10364/1266785	NA	1266785	main	ACT	RSR	6	1	1	2000	1.08	R.1	3	0	0.111111111111111	0.222222222222222	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	135999	1990	1	F	S	NA	NA
Barbara	Šket Motnikar	10364	avtor	10364/624725	NA	624725	main	ACT	RSR	6	1	1	2000	1.08	R.1	4	0	0.0625	0.1875	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.25	136004	1990	1	F	S	NA	NA
Barbara	Šket Motnikar	10364	avtor	10364/1231713	NA	1231713	main	ACT	RSR	6	1	1	2000	1.08	R.1	4	0	0.0625	0.1875	0.0625	4NK (S); zbornik nerecenziranih prispevkov	1.25	136010	1990	1	F	S	NA	NA
Andrej	Blejec	6989	avtor	06989/836943	1-007	836943	main	ACT	RSR	6	1	1	1988	1.01	R.1	4	0	0.0625	0.1875	0.0	1C (Z2)	7.5	136339	1975	1	M	Z2	NA	32
Katarina	Košmelj	9085	avtor	09085/35928832	3-104.01	35928832	main	ACT	RSR	6	1	1	1991	1.01	R.1	2	0	0.25	0.25	0.0	1C (Z2)	15.0	138716	1979	1	F	Z2	NA	279
Drago	Čepar	1857	avtor	01857/11109671	1-001.05.06	11109671	main	ACT	RSR	6	1	1	1986	1.01	R.1	2	0	0.25	0.25	0.0	1NK (S)	2.5	162086	1974	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/13934887	1-001.05.06	13934887	main	ACT	RSR	6	1	1	1991	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1NK (S)	1.67	162094	1974	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/5254695	1-001.05.06	5254695	main	ACT	RSR	6	1	1	1992	1.16	R.1	4	0	0.0625	0.1875	0.0625	3NK (S)	1.25	162146	1974	1	M	S	NA	NA
Jože	Vrabec	724	avtor	00724/9511001	4-016 & 3-111.02	9511001	main	ACT	RSR	2	1	1	1989	1.01	R.1	1	1	0.0	0.0	0.0	1A2 (Z1)	100.0	187465	1962	1	M	Z1	NA	NA
Jože	Vrabec	724	avtor	00724/9511257	4-016 & 3-111.02	9511257	main	ACT	RSR	2	1	1	1991	1.01	R.1	1	1	0.0	0.0	0.0	1A4 (Z1)	40.0	187466	1962	1	M	Z1	NA	NA
Jože	Vrabec	724	avtor	00724/10043225	3-111.02 & 4-016	10043225	main	ACT	RSR	2	1	1	2000	1.02	R.1	1	1	0.0	0.0	0.0	1C (Z2)	30.0	187467	1962	1	M	Z2	NA	NA
Peter	Petek	725	avtor	00725/8988249	3-117 & 4-016	8988249	main	ACT	RSR	2	1	1	1989	1.01	R.1	1	1	0.0	0.0	0.0	1A4 (Z1)	40.0	187955	1951	1	M	Z1	NA	NA
Peter	Petek	725	avtor	00725/8988761	3-117 & 4-016	8988761	main	ACT	RSR	2	1	1	1990	1.01	R.1	1	1	0.0	0.0	0.0	1C (Z2)	30.0	187956	1951	1	M	Z2	NA	NA
Peter	Petek	725	avtor	00725/8989785	3-117 & 4-016	8989785	main	ACT	RSR	2	1	1	1991	1.01	R.1	1	1	0.0	0.0	0.0	1A4 (Z1)	43.01	187958	1951	1	M	Z1	NA	NA
Mitja	Lakner	3533	avtor	03533/7522393	3-109	7522393	main	ACT	RSR	3	1	1	1997	1.01	R.1	2	0	0.5	0.0	0.0	1A4 (Z1)	20.0	187959	1980	1	M	Z1	NA	501
Peter	Petek	725	avtor	00725/7522393	3-117 & 4-016	7522393	main	ACT	RSR	2	1	1	1997	1.01	R.1	2	0	0.5	0.0	0.0	1A4 (Z1)	20.0	187960	1951	1	M	Z1	NA	NA
Peter	Petek	725	avtor	00725/7712345	3-117 & 4-016	7712345	main	ACT	RSR	2	1	1	1997	1.01	R.1	1	1	0.0	0.0	0.0	1A4 (Z1)	40.0	187961	1951	1	M	Z1	NA	NA
Peter	Petek	725	avtor	00725/8196185	3-117 & 4-016	8196185	main	ACT	RSR	2	1	1	1998	1.01	R.1	2	0	0.5	0.0	0.0	1A2 (Z1)	43.52	187962	1951	1	M	Z1	NA	NA
Marjeta	Škapin-Rugelj	4640	avtor	04640/8196185	3-109 & 4-016	8196185	main	ACT	RSR	NA	1	1	1998	1.01	R.1	2	0	0.5	0.0	0.0	1A2 (Z1)	43.52	187963	1984	1	F	Z1	NA	501
Mitja	Lakner	3533	avtor	03533/13385817	3-109	13385817	main	ACT	RSR	3	1	1	2005	1.01	R.1	3	0	0.333333333333333	0.0	0.0	1A1 (Z1, A')	42.0	187964	1980	1	M	Z1	1	501
Marjeta	Škapin-Rugelj	4640	avtor	04640/13385817	3-109	13385817	main	ACT	RSR	NA	1	1	2005	1.01	R.1	3	0	0.333333333333333	0.0	0.0	1A1 (Z1, A')	42.0	187965	1984	1	F	Z1	1	501
Peter	Petek	725	avtor	00725/13385817	3-117 & 4-016	13385817	main	ACT	RSR	2	1	1	2005	1.01	R.1	3	0	0.333333333333333	0.0	0.0	1A1 (Z1, A')	42.0	187966	1951	1	M	Z1	1	NA
Mitja	Lakner	3533	avtor	03533/14607193	3-109	14607193	main	ACT	RSR	3	1	1	2008	1.01	R.1	3	0	0.333333333333333	0.0	0.0	1A1 (Z1, A')	43.6	187967	1980	1	M	Z1	1	501
Peter	Petek	725	avtor	00725/14607193	NA	14607193	main	ACT	RSR	2	1	1	2008	1.01	R.1	3	0	0.333333333333333	0.0	0.0	1A1 (Z1, A')	43.6	187968	1951	1	M	Z1	1	NA
Marjeta	Škapin-Rugelj	4640	avtor	04640/14607193	3-109 & 4-016	14607193	main	ACT	RSR	NA	1	1	2008	1.01	R.1	3	0	0.333333333333333	0.0	0.0	1A1 (Z1, A')	43.6	187969	1984	1	F	Z1	1	501
Peter	Petek	725	avtor	00725/15165017	NA	15165017	main	ACT	RSR	2	1	1	2009	1.01	R.1	3	0	0.333333333333333	0.0	0.0	1A1 (Z1, A'', A')	50.23	187970	1951	1	M	Z1	1	NA
Mitja	Lakner	3533	avtor	03533/15165017	3-109	15165017	main	ACT	RSR	3	1	1	2009	1.01	R.1	3	0	0.333333333333333	0.0	0.0	1A1 (Z1, A'', A')	50.23	187971	1980	1	M	Z1	1	501
Marjeta	Škapin-Rugelj	4640	avtor	04640/15165017	3-109 & 4-016	15165017	main	ACT	RSR	NA	1	1	2009	1.01	R.1	3	0	0.333333333333333	0.0	0.0	1A1 (Z1, A'', A')	50.23	187972	1984	1	F	Z1	1	501
Jernej	Kozak	3425	avtor	03425/41668864	4-016 & 3-111.02	41668864	main	ACT	RSR	3	1	1	1992	1.03	R.1	2	0	0.5	0.0	0.0	1NK (S)	2.5	187975	1969	1	M	S	NA	NA
Peter	Petek	725	avtor	00725/41668864	4-016 & 3-117	41668864	main	ACT	RSR	2	1	1	1992	1.03	R.1	2	0	0.5	0.0	0.0	1NK (S)	2.5	187976	1951	1	M	S	NA	NA
Peter	Petek	725	avtor	00725/8168281	3-117 & 4-016	8168281	main	ACT	RSR	2	1	1	1986	1.08	R.1	2	0	0.25	0.25	0.0	4NK (S); zbornik nerecenziranih prispevkov	2.5	188067	1951	1	M	S	NA	NA
Peter	Petek	725	avtor	00725/8986201	3-117 & 4-016	8986201	main	ACT	RSR	2	1	1	1988	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	188070	1951	1	M	S	NA	NA
Peter	Petek	725	avtor	00725/8989529	3-117 & 4-016	8989529	main	ACT	RSR	2	1	1	1991	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	188072	1951	1	M	S	NA	NA
Peter	Petek	725	avtor	00725/8992089	3-117 & 4-016	8992089	main	ACT	RSR	2	1	1	1991	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	188075	1951	1	M	S	NA	NA
Peter	Petek	725	avtor	00725/8990297	3-117 & 4-016	8990297	main	ACT	RSR	2	1	1	1991	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	188079	1951	1	M	S	NA	NA
Jernej	Kozak	3425	avtor	03425/9375833	3-111.02 & 4-016	9375833	main	ACT	RSR	3	1	1	1998	1.08	R.1	2	0	0.5	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	2.5	188081	1969	1	M	S	NA	NA
Peter	Petek	725	avtor	00725/9375833	3-117 & 4-016	9375833	main	ACT	RSR	2	1	1	1998	1.08	R.1	2	0	0.5	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	2.5	188082	1951	1	M	S	NA	NA
Mitja	Lakner	3533	avtor	03533/9376089	3-109	9376089	main	ACT	RSR	3	1	1	1994	1.08	R.1	2	0	0.5	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	2.5	188085	1980	1	M	S	NA	501
Peter	Petek	725	avtor	00725/9376089	3-117 & 4-016	9376089	main	ACT	RSR	2	1	1	1994	1.08	R.1	2	0	0.5	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	2.5	188086	1951	1	M	S	NA	NA
Peter	Petek	725	avtor	00725/7183705	3-117 & 4-016	7183705	main	ACT	RSR	2	1	1	1992	1.16	R.1	1	1	0.0	0.0	0.0	3NK (S)	5.0	188098	1951	1	M	S	NA	NA
Marko	Lovrečič Saražin	755	avtor	00755/17087749	4-015	17087749	main	ACT	RSR	5	1	1	1993	1.01	R.1	1	1	0.0	0.0	0.0	1A3 (Z1)	68.49	194441	1984	0	M	Z1	NA	NA
Marko	Lovrečič Saražin	755	avtor	00755/5867609	4-016	5867609	main	ACT	RSR	5	1	1	1993	1.01	R.1	1	1	0.0	0.0	0.0	1A3 (Z1)	68.49	194442	1984	0	M	Z1	NA	NA
Marko	Lovrečič Saražin	755	avtor	00755/17087493	4-015 & 4-016	17087493	main	ACT	RSR	5	1	1	1994	1.01	R.1	1	1	0.0	0.0	0.0	1A3 (Z1)	68.49	194443	1984	0	M	Z1	NA	NA
Marko	Lovrečič Saražin	755	avtor	00755/21162	4-015	21162	main	ACT	RSR	5	1	1	1996	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1A2 (Z1)	29.38	194446	1984	0	M	Z1	NA	NA
Marko	Lovrečič Saražin	755	avtor	00755/7183961	4-016	7183961	main	ACT	RSR	5	1	1	1997	1.01	R.1	1	1	0.0	0.0	0.0	1A1 (Z1, A')	130.43	194447	1984	0	M	Z1	1	NA
Marko	Lovrečič Saražin	755	avtor	00755/18036485	NA	18036485	main	ACT	RSR	5	1	1	1997	1.01	R.1	4	0	0.0625	0.1875	0.0	1C (Z2)	6.0	194450	1984	0	M	Z2	NA	NA
Marko	Lovrečič Saražin	755	avtor	00755/7557209	NA	7557209	main	ACT	RSR	5	1	1	1997	1.01	R.1	1	1	0.0	0.0	0.0	1A4 (Z1)	40.0	194452	1984	0	M	Z1	NA	NA
