  Rank | Mathematic
   180 | Jože Marinček [13429]
   181 | Luka Kronegger [28074]
   182 | Marjan Jerman [19600]
   183 | Matjaž Kaufman [11392]
   184 | Nataša Žabkar [14073]
   185 | Sanja Fidler [24057]
   186 | Svitan Gaborovič [3781]
   187 | Tadeja Kraner Šumenjak [22648]
   188 | Tomaž Kosem [24329]
   189 | Zvonimir Bohte [158]
   190 | Žiga Virk [26522]
   191 | Aleš Založnik [7081]
   192 | Andrej Muhič [28582]
   193 | Anton Suhadolc [204]
   194 | Boštjan Kuzman [23501]
   195 | Božidar Brudar [2762]
   196 | Danijela Tuljak Suban [21328]
   197 | Egon Zakrajšek [213]
   198 | Gašper Koren [23809]
   199 | Igor Kukavica [8326]
   200 | Irena Majcen [26532]
   201 | Jerneja Šifrer [29662]
   202 | Jože Vrabec [724]
   203 | Jure Kališnik [25607]
   204 | Jure Škarabot [11320]
   205 | Klemen Šivic [28585]
   206 | Leonida Oberš [16127]
   207 | Maja Čevnik [30824]
   208 | Marko Jakovac [29919]
   209 | Martin Raič [15851]
   210 | Martin Vuk [23987]
   211 | Mateja Grašič [29707]
   212 | Mateja Prešern [31221]
   213 | Melita Gorše Pihler [27936]
   214 | Primož Škraba [32381]
   215 | Rija Erveš [29665]
   216 | Rok Erman [29585]
   217 | Tomislav Žitko [2717]
   218 | Andrej Kmet [2506]
   219 | Andrej Perne [28254]
   220 | Andrej Rupar [24892]
   221 | Bogdan Krušič [219]
   222 | Bojan Gornik [20977]
   223 | Boštjan Frelih [24999]
   224 | Darja Rupnik Poklukar [21774]
   225 | Diego Klabjan [15517]
   226 | Dušan Fajfar [10075]
   227 | Eva Berdajs [29018]
   228 | France Dacar [2590]
   229 | Gabrijel Tomšič [2303]
   230 | Gašper Mekiš [30823]
   231 | Gorazd Brumen [23465]
   232 | Gorazd Noč [12229]
   233 | Gregor Jerše [25594]
   234 | Gregor Šega [18170]
   235 | Janez Aleš [12066]
   236 | Janoš Vidali [30920]
   237 | Jernej Tonejc [22354]
   238 | Kris Stopar [32027]
   239 | Kristijan Breznik [30604]
   240 | Kristijan Cafuta [28255]
   241 | Lidija Čadež [13843]
   242 | Marko Kandić [29584]
   243 | Matej Merhar [32248]
   244 | Matej Zajec [28580]
   245 | Matevž Črepnjak [31096]
   246 | Matjaž Krnc [34562]
   247 | Matjaž Zaveršnik [15137]
   248 | Nik Stopar [32023]
   249 | Nina Žvan [28723]
   250 | Peter Kink [24815]
   251 | Peter Nose [31355]
   252 | Sonja Ratej Pirkovič [24104]
   253 | Tadej Starčič [24330]
   254 | Tanja Gologranc [32028]
   255 | Uroš Kuzman [30829]
